-73.939708,45.41481,11.2,15.766667
-73.939702,45.414812,10.64,12.92
-73.939688,45.414813,17.62,15.86
-73.939677,45.414818,27.14,21.86
-73.939657,45.414822,26.64,26.12
-73.939642,45.414825,25.6,23.98
-73.939623,45.41483,22.58,22.72
-73.939603,45.414837,17.84,18.6
-73.93958,45.414843,13.6,13.96
-73.939557,45.414852,10.58,10.52
-73.939535,45.414858,8.66,8.56
-73.939512,45.414867,8.88,7.54
-73.939487,45.414875,9.04,7.78
-73.939458,45.414883,9.18,7.48
-73.939427,45.414893,8.82,7.56
-73.939398,45.414903,8.56,6.94
-73.939367,45.414915,7.62,7.02
-73.939335,45.414927,7.36,7.22
-73.939302,45.414942,7.38,7.62
-73.939265,45.414955,7.36,7.42
-73.939223,45.414972,7,6.88
-73.939185,45.414983,6.76,6.78
-73.939145,45.415,6.88,6.26
-73.939102,45.415017,6.5,5.66
-73.939062,45.415035,5.7,5.76
-73.939022,45.415053,5.12,5.14
-73.93898,45.415068,5.16,5.12
-73.938938,45.415087,4.96,5.12
-73.938893,45.415103,5.36,5.66
-73.938848,45.41512,4.82,5.34
-73.938808,45.415133,3.9,4.44
-73.938763,45.415152,4.2,4.4
-73.938718,45.415167,5.5,6.4
-73.938675,45.415182,7.66,8.68
-73.93863,45.415197,7.3,9.18
-73.938583,45.415212,8.16,10.42
-73.93854,45.415228,8.58,12.34
-73.938493,45.415247,8.34,12.52
-73.938445,45.415262,9.6,14.44
-73.9384,45.41528,10.04,14.82
-73.938353,45.415295,8.34,11.94
-73.938312,45.415313,6.38,8.38
-73.938267,45.415328,5.96,6.74
-73.938222,45.415345,5.74,6.22
-73.938177,45.415365,6.16,5.98
-73.938132,45.415382,5.72,5.92
-73.938085,45.415398,5.14,5.72
-73.93804,45.415417,4.88,5.42
-73.93799,45.415432,4.54,4.82
-73.937945,45.41545,4.5,4.52
-73.937897,45.415467,4.5,4.58
-73.937848,45.415485,4.56,4.74
-73.937803,45.4155,3.98,4.58
-73.937753,45.415518,4.08,4.1
-73.937705,45.415535,3.44,3.52
-73.93766,45.415553,3.44,3.34
-73.93761,45.415572,3.82,3.56
-73.937562,45.415588,3.82,3.88
-73.937515,45.415603,3.82,3.54
-73.937463,45.41562,4.98,4.56
-73.937418,45.415638,5.28,4.64
-73.937368,45.415657,5.86,4.82
-73.93732,45.415677,4.76,4.32
-73.937272,45.415693,3.76,3.2
-73.937218,45.415713,3.66,3.3
-73.93717,45.415735,4.22,3.54
-73.93712,45.415757,4.92,4.5
-73.937068,45.415777,4.74,4.78
-73.937017,45.415795,4.74,4.96
-73.936968,45.415815,4.68,4.5
-73.936918,45.415835,4.24,4
-73.93687,45.41585,4.24,3.92
-73.936818,45.415867,4.66,3.98
-73.936768,45.415885,4.52,3.76
-73.936718,45.415907,4.8,4.62
-73.93667,45.415925,2.64,2.6
-73.936627,45.415945,2.64,2.6
-73.936575,45.415965,2.8,2.54
-73.936527,45.415983,2.98,2.5
-73.936483,45.415998,4.78,4.02
-73.936433,45.416015,5.12,4.24
-73.93639,45.41603,4.42,4.02
-73.936345,45.416048,5.14,4.34
-73.9363,45.416068,4.24,3.8
-73.93626,45.416088,3.9,3.48
-73.936218,45.416105,4.1,3.48
-73.936178,45.416122,5.94,3.96
-73.936142,45.416138,5.48,5.16
-73.936105,45.41615,6.72,6.8
-73.936073,45.416165,7.06,7.02
-73.936037,45.416182,6.4,5.38
-73.936003,45.416198,7.64,5.94
-73.935975,45.416215,8.74,6.7
-73.935952,45.416233,7.74,7.16
-73.935928,45.41625,8.72,7.14
-73.93591,45.416268,11.1,7.02
-73.935897,45.416285,16.46,9.78
-73.935888,45.4163,18.9,10
-73.935882,45.416313,12.86,11
-73.935878,45.416327,14.22,10.54
-73.935878,45.416338,16.14,10.88
-73.93588,45.416352,22.42,12.38
-73.935885,45.416363,29.64,8.92
-73.935892,45.416375,14.5,8.32
-73.935905,45.416385,5.08,5.76
-73.93592,45.416397,3.9,3.46
-73.935935,45.416405,4.02,3
-73.935955,45.416412,3.02,3.26
-73.935973,45.416413,3.82,3.36
-73.935997,45.416415,3.84,3.36
-73.936018,45.416412,4.16,3.72
-73.93604,45.416407,4.02,3.66
-73.936057,45.416397,4.5,4.02
-73.936078,45.416382,4.54,3.88
-73.936097,45.41636,3.34,3.3
-73.936117,45.416338,2.6,2.38
-73.936138,45.416313,2.44,2.32
-73.936165,45.41629,3.44,2.48
-73.93619,45.416268,4.28,3.1
-73.936215,45.416247,3.7,3.38
-73.936242,45.416223,3.76,3.08
-73.936267,45.4162,4.44,2.88
-73.936295,45.416178,4.46,3
