-73.93877,45.415197,7.738
-73.938797,45.415187,7.777
-73.938826,45.415176,7.794
-73.938857,45.415165,7.809
-73.93889,45.415153,7.826
-73.938925,45.415141,7.876
-73.93896,45.415129,7.917
-73.938997,45.415115,7.92
-73.939036,45.4151,7.87
-73.939076,45.415085,7.851
-73.939115,45.415068,7.893
-73.939154,45.415052,7.924
-73.939193,45.415037,7.947
-73.939232,45.415022,7.974
-73.939272,45.415007,8.017
-73.939313,45.414992,8.029
-73.939355,45.414975,8.066
-73.939396,45.414959,8.09
-73.939437,45.414942,8.113
-73.939477,45.414925,8.17
-73.939516,45.414907,8.234
-73.939553,45.414888,8.307
-73.939588,45.414871,8.463
-73.939622,45.414853,8.625
-73.939652,45.414837,8.677
-73.939682,45.414822,8.754
-73.939713,45.414814,8.881
-73.939742,45.414816,8.995
-73.939766,45.414826,9.097
-73.93978,45.414842,9.131
-73.939786,45.41486,9.101
-73.939777,45.41488,9.004
-73.939759,45.414895,8.766
-73.939734,45.414906,8.548
-73.939707,45.414911,8.496
-73.939688,45.414913,8.483
-73.93968,45.414915,8.443
-73.939676,45.414915,8.442
-73.939667,45.414916,8.413
-73.939652,45.414918,8.328
-73.939635,45.414922,8.377
-73.939617,45.414928,8.283
-73.939597,45.414935,8.198
-73.939576,45.414942,8.183
-73.939554,45.414952,8.177
-73.93953,45.414962,8.167
-73.939504,45.414972,8.143
-73.939477,45.414982,8.138
-73.939448,45.414994,8.135
-73.939417,45.415006,8.106
-73.939385,45.415019,8.082
-73.93935,45.415032,8.056
-73.939313,45.415046,8.021
-73.939274,45.41506,8.011
-73.939235,45.415076,7.952
-73.939194,45.415091,7.885
-73.939151,45.415106,7.835
-73.939108,45.415123,7.813
-73.939065,45.415139,7.801
-73.939021,45.415155,7.786
-73.938977,45.415171,7.785
-73.938933,45.415187,7.766
-73.938888,45.415203,7.779
-73.938842,45.41522,7.694
-73.938793,45.415238,7.517
-73.938743,45.415255,7.379
-73.938692,45.415273,7.291
-73.938641,45.415291,7.24
-73.93859,45.415311,7.185
-73.93854,45.415331,7.166
-73.938491,45.415351,7.227
-73.938443,45.41537,7.259
-73.938394,45.41539,7.276
-73.938344,45.41541,7.272
-73.938295,45.415431,7.316
-73.938245,45.415453,7.354
-73.938194,45.415475,7.378
-73.938143,45.415497,7.425
-73.938091,45.415519,7.537
-73.93804,45.41554,7.66
-73.937989,45.415559,7.772
-73.937936,45.41558,7.848
-73.937883,45.4156,7.9
-73.937829,45.415622,7.982
-73.937774,45.415643,8.06
-73.937719,45.415664,8.171
-73.937663,45.415686,8.265
-73.937606,45.415708,8.34
-73.937549,45.41573,8.426
-73.937493,45.415752,8.475
-73.937438,45.415773,8.586
-73.937383,45.415795,8.665
-73.937327,45.415817,8.688
-73.937271,45.415838,8.68
-73.937215,45.41586,8.684
-73.937158,45.415881,8.661
-73.9371,45.415901,8.656
-73.937043,45.415921,8.672
-73.936988,45.415942,8.74
-73.936931,45.415963,8.727
