271,0.67,18.6,4,1,6,9,20670
415,0.62,20.1,2,1,6,10,21302
491,0.59,20.4,6,1,6,11,21701
528,0.38,22,9,1,6,12,21649
671,0.38,22,7,1,6,13,21527
700,0.57,22.3,9,1,6,14,21824
663,0.33,23,7,1,6,15,21814
585,0.56,23.2,4,1,6,16,21759
494,0.58,22.7,6,1,6,17,20988
319,0.64,22.3,4,1,6,18,20440
195,0.75,21.6,4,1,6,19,19515
78,0.36,24,4,1,6,20,19066
-12,0.79,16.6,4,1,6,21,18275
-26,0.77,16.6,4,1,6,22,17755
-20,0.79,15.5,2,1,6,23,17293
-25,0.8,15.2,0,2,6,0,16430
-19,0.8,14.9,0,2,6,1,16130
-19,0.8,14.7,0,2,6,2,16267
-17,0.81,14.6,2,2,6,3,14995
-16,0.79,14.7,2,2,6,4,14933
-34,0.79,14.5,4,2,6,5,14929
-94,0.83,14.8,4,2,6,6,16504
-8,0.78,16.7,4,2,6,7,18381
120,0.64,18,7,2,6,8,19153
266,0.71,20.7,0,2,6,9,20346
393,0.53,21,6,2,6,10,21371
496,0.53,24.3,0,2,6,11,21817
621,0.5,25.4,2,2,6,12,21796
689,0.49,26,2,2,6,13,21811
713,0.49,26.2,0,2,6,14,22022
693,0.23,26,7,2,6,15,22366
354,0.26,27,7,2,6,16,21860
163,0.26,27,6,2,6,17,21282
98,0.26,27,6,2,6,18,20583
43,0.26,26,6,2,6,19,20007
58,0.41,24,2,2,6,20,19614
-16,0.8,18.3,4,2,6,21,18734
-46,0.83,16.7,4,2,6,22,17869
-49,0.89,14.2,4,2,6,23,17127
-48,0.89,13.1,4,3,6,0,16920
-48,0.9,12.2,2,3,6,1,16807
-59,0.9,11.5,0,3,6,2,16574
-62,0.68,18,7,3,6,3,16533
-58,0.72,17,6,3,6,4,16355
-64,0.81,13.6,7,3,6,5,16315
-74,0.81,14.4,7,3,6,6,17382
1,0.77,16,9,3,6,7,18161
108,0.72,17,7,3,6,8,19657
226,0.71,19.3,11,3,6,9,20928
394,0.64,20,7,3,6,10,21892
419,0.59,22.5,15,3,6,11,22555
538,0.54,23.8,13,3,6,12,22675
642,0.41,25,6,3,6,13,22852
627,0.37,26,6,3,6,14,22999
485,0.37,27,6,3,6,15,22913
230,0.34,27,6,3,6,16,22639
244,0.39,26,7,3,6,17,22057
119,0.44,25,6,3,6,18,21307
43,0.8,19.3,9,3,6,19,20663
-1,0.57,22,9,3,6,20,20232
-15,0.64,21,7,3,6,21,19474
-15,0.73,20,9,3,6,22,18949
-17,0.9,15.8,6,3,6,23,18385
-18,0.83,19,6,4,6,0,18235
-15,0.9,15.6,7,4,6,1,17722
-13,0.78,19,6,4,6,2,17699
-9,0.78,19,6,4,6,3,17538
-9,0.78,19,6,4,6,4,17448
-3,0.73,19,4,4,6,5,17418
-15,0.73,19,6,4,6,6,18880
12,0.73,19,7,4,6,7,19532
63,0.78,19,6,4,6,8,20723
189,0.78,19,6,4,6,9,21587
171,0.94,19.6,13,4,6,10,22361
92,0.73,21,7,4,6,11,22345
273,0.73,21,4,4,6,12,22732
266,0.73,22,7,4,6,13,22916
331,0.78,22,6,4,6,14,23000
356,0.83,21,6,4,6,15,22780
